"","X","eff.mon.initial","eff.mon.final","eff.inf.initial","eff.inf.final","fut.mon.initial","fut.mon.final","fut.inf.initial","fut.inf.final","phat.initial","phat.final","ss.initial","ss.final","post.mean.initial","post.mean.final","cov.initial","cov.final","idx"
"16",1,0.01424,0.01252,0.02144,0.02132,0.71472,0.68696,NA,NA,0.395533305647841,0.397281819479023,98.56008,102.70336,0.406822647882884,0.407884673132826,0.96992,0.96892,114
"17",1,0.01688,0.01392,0.02316,0.02272,0.70956,0.69456,NA,NA,0.396037557471264,0.397703284493743,99.841,103.72432,0.407152532818803,0.408157527808216,0.96688,0.96928,115
"18",1,0.01412,0.01276,0.0208,0.02068,0.71724,0.69128,NA,NA,0.395789545454545,0.397347123553895,99.16096,103.43404,0.406898645866041,0.407821554124376,0.97064,0.97076,116
"19",1,0.0176,0.0146,0.0236,0.02296,0.71048,0.69656,NA,NA,0.395953414927769,0.397498007077314,100.3252,104.37308,0.406972637411456,0.407890586155981,0.96912,0.96872,117
"20",1,0.0136,0.0122,0.01996,0.01972,0.7214,0.695,NA,NA,0.39588423015873,0.397455864438131,99.78032,104.22496,0.408167681568142,0.4077849143363,0.9694,0.97208,118
"21",1,0.01608,0.01376,0.02268,0.0224,0.70988,0.69672,NA,NA,0.396675,0.39817394354946,101.15224,105.29324,0.407402750879679,0.408306130918445,0.96884,0.9688,119
"22",1,0.56052,0.39752,0.59264,0.57336,0.09936,0.0586,NA,NA,0.523899012067673,0.515817350534296,80.52992,85.45836,0.523061735733535,0.516866082832076,0.87964,0.91048,11
"23",1,0.01644,0.01244,0.02248,0.02172,0.72452,0.69692,NA,NA,0.396059301242236,0.397725441659186,100.4296,105.10536,0.406875262094704,0.407886495202649,0.96988,0.96908,120
"24",1,0.01604,0.0142,0.0228,0.02244,0.70964,0.69524,NA,NA,0.396865368663594,0.398416602454209,101.7894,106.06888,0.407456934337403,0.408396520478074,0.96716,0.97,121
"25",1,0.01592,0.0122,0.02248,0.02184,0.7208,0.69408,NA,NA,0.396813579027356,0.398256166659123,101.37568,106.0866,0.407375669680437,0.40820246959835,0.96968,0.96968,122
